tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
1.902270843,r,2,-83.50484083,-159.032149,5,404
1.897058166,pair,1,-77.19678949,-154.0095734,3,578
1.896292214,l,2,-82.82364788,-162.794451,4,197
1.896150758,r,2,-79.9435979,-155.2827173,2,456
1.892452775,l,3,-80.05731384,-149.8681556,3,571
1.892393337,pair,3,-85.29412891,-153.6280652,5,587
1.891329109,l,2,-76.36463913,-145.9710391,4,906
1.891112831,pair,3,-80.99060289,-153.7459798,3,53
1.888670793,r,2,-80.05046578,-150.3106075,4,129
1.888202248,pair,1,-81.31127012,-159.0889622,4,1081
1.886104804,r,2,-83.14419548,-161.5876368,5,526
1.878481083,l,1,-82.8536268,-162.3190132,4,968
1.877966558,l,2,-82.91698231,-171.3291791,4,1310
1.877781595,l,3,-85.20732118,-153.0965516,4,968
1.875224489,l,3,-84.16207518,179.2872702,2,908
1.874636374,r,1,-84.44364997,-172.6876861,3,1066
1.874046843,r,3,-84.58586794,-168.6175972,6,557
1.873964672,l,1,-83.47381386,-160.9675468,6,526
1.873193947,r,3,-85.28055767,-159.4070018,6,572
1.871655413,pair,1,-81.51246841,-163.5754767,5,944
1.865414012,l,2,-81.02276306,-154.4174322,5,556
1.865339428,r,2,-82.29830327,162.7982311,3,671
1.865314716,r,2,-81.02043942,-153.8959983,3,53
1.863845247,l,2,-84.64895872,-162.212835,6,511
1.863047109,pair,3,-79.08393417,-154.9837896,4,959
1.862731083,l,2,-83.88215114,-165.9092087,6,572
1.85502989,r,1,-81.08165791,-157.1732616,6,959
1.854526304,r,2,-76.02498799,-147.4969445,3,83
1.853764446,pair,3,-81.45795424,-163.9043337,5,944
1.850391136,l,3,-83.50292243,-159.0244262,3,1349
1.850354251,pair,1,-83.15210273,-161.8363514,5,526
1.849056212,r,2,-83.20480317,-167.919606,3,60
1.847279489,pair,1,-83.17420583,-163.1523861,5,639
1.845316476,l,1,-77.59289069,-150.6269941,3,1333
1.844937798,l,1,-84.30921427,-164.7122304,6,572
1.842140079,r,1,-83.15198007,-161.8330148,5,526
1.841512118,l,2,-79.09311404,-154.8285379,4,959
1.84092324,l,1,-83.182497,-163.1703385,5,639
1.838806537,r,3,-85.27555446,-155.027798,5,1151
1.83755396,pair,1,-84.44379811,-172.6837098,3,1066
1.833792531,r,3,-80.78046008,-149.064056,3,791
1.832213379,pair,1,-82.8535113,-162.3158668,4,968
1.83165407,pair,2,-83.14449171,-161.5905712,5,526
1.830743628,l,3,-84.79628112,-164.2994905,4,755
1.829594579,l,2,-83.47288836,-160.6901109,5,526
1.827247936,l,2,-81.14683307,-159.0286899,4,1081
1.825694086,pair,3,-84.80236215,-164.2665091,4,755
1.825283004,r,2,-84.65705146,-162.1675851,6,511
1.824416528,l,2,-81.32009571,-159.3066534,4,1081
1.823343234,r,1,-82.85322483,-162.3131259,4,968
1.821079189,r,3,-83.40336644,-161.3826365,5,587
1.820886718,l,1,-81.31206124,-159.0873889,4,1081
1.819997463,l,2,-82.81265886,-173.5800959,5,938
1.816584184,l,2,-83.14461792,-161.5939502,5,526
1.81557219,l,1,-81.01148459,-154.1139877,3,53
1.813648859,pair,1,-81.10583907,-152.4106064,6,1318
1.813524898,l,1,-81.1061093,-152.4129766,6,1318
1.812362178,l,3,-82.85414023,-162.3289739,3,84
1.809550904,r,2,-83.33828411,-163.8668188,5,639
1.80800054,l,1,-84.44394623,-172.6797332,3,1066
1.807468137,r,2,-76.47457581,-147.7061469,5,586
1.805975725,l,3,-81.11322723,-157.9702179,4,861
1.805488831,r,1,-83.8674763,-166.24931,6,572
1.800231658,pair,3,-84.34026919,-176.8295193,2,1371
1.79847007,pair,2,-82.32332278,163.2700935,4,817
1.797980202,r,1,-84.46092058,-172.6771557,5,1243
1.797779181,pair,1,-84.7667116,-165.1531387,5,755
1.79724983,l,1,-83.86723354,-166.2583158,6,572
1.796825727,r,1,-83.47525008,-160.9556967,6,526
1.795367752,r,3,-85.28852168,-159.8792094,3,1075
1.793786988,r,2,-79.96961218,-153.0067558,6,1257
1.793200096,pair,3,-82.85401631,-162.325704,3,84
1.79301148,pair,1,-84.31724265,-164.6774149,6,572
1.789144685,r,3,-83.11469374,-163.5315378,5,639
1.789116396,r,3,-81.11199916,-157.882814,4,517
1.789078506,l,3,-81.31970649,-159.5126268,4,1081
1.788641826,l,2,-76.49827885,-147.6929018,5,586
1.786617989,pair,3,-83.44192153,170.4369958,3,954
1.785943581,l,3,-79.07317421,-154.9703605,4,959
1.783454394,r,2,-81.32058633,-159.3131905,4,1081
1.780904049,r,3,-79.85930034,-162.8862441,4,121
1.779349572,l,3,-84.48424034,-171.3972448,5,740
1.777468464,r,1,-81.012198,-153.8482395,5,495
1.777389674,l,3,-83.99064493,-165.2360946,6,572
1.774482294,l,2,-83.40545194,-161.661727,5,587
1.773239115,r,1,-76.47175571,-147.8391235,5,586
1.772235015,l,1,-84.63459309,-163.4032698,6,572
1.76627903,l,2,-84.58284976,-168.9862376,6,557
1.763724908,l,3,-79.89854104,-160.3333787,4,380
1.763613001,r,2,-79.76481028,-149.3528109,3,471
