beam,beam_pair,lat,lon,repeat_cycles_no,track
l,1,-69.90628115,68.99727899,5,912
r,2,-71.0089587,68.98641029,6,28
r,3,-72.06702435,67.44857825,3,653
r,1,-68.7731674,69.49243296,4,965
l,1,-70.03679104,72.67684467,4,165
r,2,-69.90043457,73.23764818,4,1049
r,1,-72.47185069,68.46623133,5,1034
l,1,-69.98625147,68.76628173,4,470
l,2,-73.24100011,67.62121152,5,965
r,1,-71.28721586,71.33906898,6,1232
l,1,-71.75931793,70.49128469,4,851
r,2,-70.06007306,72.77661538,5,165
r,1,-71.04834086,71.50327168,4,287
r,2,-71.96896495,69.90219191,5,912
l,1,-69.96006899,68.49757231,6,28
r,2,-71.87564537,70.57812139,5,782
l,3,-70.07355274,67.93800567,6,89
l,3,-70.45230514,68.72513199,5,965
l,2,-69.8163514,68.27146633,5,1026
r,3,-69.5652314,69.05301483,5,912
l,3,-70.0829005,72.61229419,2,1110
l,2,-72.04919998,70.45293528,5,409
l,3,-70.3051121,72.69550917,3,1110
l,2,-69.88739538,75.56647603,4,866
l,3,-69.99519184,68.89686593,5,965
l,2,-70.05939292,72.51453442,2,1110
r,2,-70.06082316,67.92028172,3,584
r,2,-71.92438739,67.70084209,4,81
l,2,-71.37462437,68.09313007,5,1034
r,1,-72.49924715,68.73790354,5,89
l,1,-69.13692063,69.508622,3,851
l,2,-69.57351447,68.87731536,4,523
l,2,-70.68783882,68.72613913,5,965
l,1,-70.92383083,69.11687976,4,470
r,1,-70.27235112,67.57580504,6,1034
r,1,-69.14627391,69.62768688,4,20
r,1,-69.02570234,69.40866378,4,965
r,1,-68.86627977,69.72126919,4,20
l,1,-69.70734767,68.92662658,5,912
r,1,-70.45385267,72.57314387,2,1110
r,2,-70.4536714,68.7715148,6,28
l,2,-71.37327313,71.05064716,5,1224
l,3,-70.95165242,71.64581254,3,721
l,2,-70.5150208,68.01377798,6,89
r,1,-69.79923595,69.14215498,4,965
r,1,-70.78460434,68.51861252,4,523
r,2,-70.1679579,67.62146167,4,142
l,3,-69.00427113,69.50851103,4,20
l,1,-71.62971219,71.21558624,4,790
r,3,-72.24082471,69.86086321,6,470
l,3,-71.33265958,68.17097724,5,1034
r,3,-72.51055023,68.6391916,6,904
l,3,-71.19886653,71.48957169,6,1232
r,3,-70.28372608,67.50033479,5,592
r,2,-69.67934599,75.75391667,4,1308
l,3,-71.25619015,71.51298671,6,1232
r,3,-70.51744099,71.7410925,5,729
l,3,-71.40118108,70.94387808,5,1224
