tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
,pair,3,-67.40422815,-65.32496014,2,750
,l,1,-66.21871252,-62.11098794,2,239
,pair,1,-70.85681823,-61.71560811,3,1009
,l,3,-66.70684815,-63.95877681,4,361
,pair,3,-66.13593589,-60.76525771,4,826
,l,3,-68.17912388,-64.8229701,4,1192
,r,2,-70.70477139,-60.90178562,3,948
,l,2,-68.45418924,-63.12057403,3,1184
,l,3,-65.92228005,-61.34548177,2,1329
,l,3,-65.98652309,-61.32752967,2,1329
,r,3,-66.13630582,-60.76431889,4,826
,l,2,-68.57192976,-63.73959801,3,186
,pair,3,-66.27255353,-63.31549799,3,1245
,pair,2,-68.76279662,-60.8873596,3,1001
,r,1,-70.25817186,-62.36333702,4,620
,l,1,-68.47529569,-63.04482203,3,1184
,l,2,-70.70381274,-60.90463962,3,948
,r,1,-68.68582065,-63.78311394,2,186
,r,1,-69.35853207,-62.82196586,4,681
,r,3,-68.42599345,-65.01224922,4,864
,l,1,-66.87373842,-60.18840142,3,323
,r,2,-70.54085831,-60.96467,2,948
,l,1,-68.22256219,-64.97222288,4,1192
,l,1,-68.97170796,-63.72663401,4,300
,pair,2,-69.7240312,-61.99743543,4,1062
,r,1,-67.66320565,-64.88437022,2,247
,l,3,-68.50772122,-62.96119338,2,239
,l,3,-66.12278112,-61.97479141,2,681
,r,3,-69.14997066,-62.40232747,2,178
,l,3,-66.08170663,-60.92494296,2,1062
,r,2,-68.48182292,-63.91022247,2,1245
,r,2,-66.49440883,-62.55521335,2,506
,r,2,-69.7248637,-61.9989893,4,1062
,l,2,-67.65819956,-64.8084405,2,247
,pair,3,-65.9234753,-61.34411654,2,1329
,r,2,-68.52724352,-63.40616358,2,742
,r,1,-68.36091658,-65.18594309,3,750
,l,1,-68.25180382,-65.22289724,3,750
,l,3,-66.56910884,-64.01722599,2,628
,l,1,-70.53116704,-60.90557053,2,498
,r,1,-66.01446651,-62.24532188,3,3
,l,1,-66.57200685,-64.02672135,5,1306
,r,1,-68.43477786,-63.60485223,2,628
1.258262648,r,2,-73.81930775,-16.00208795,4,557
2.529098367,r,3,-74.33722734,-17.32397236,3,1373
1.690636037,r,3,-74.0088568,-20.61880605,4,230
1.236076385,l,1,-74.34477337,-16.2514633,3,809
1.054520922,l,3,-73.77699299,-20.49765909,4,1365
,l,2,-74.09740645,-21.33552619,4,39
1.296649267,r,2,-74.19585343,-20.61265998,3,1365
1.200468192,l,3,-73.04105159,-14.93751538,5,496
1.073972172,r,2,-73.7154212,-16.46763419,4,1060
1.59609017,r,1,-73.71906314,-16.1013871,3,115
0.959980231,pair,1,-73.86753264,-16.4349741,4,1060
1.468907502,pair,2,-74.34417513,-16.2805734,3,557
1.470508001,r,2,-73.85354474,-16.27950366,2,115
1.580309624,r,1,-73.86712159,-16.4362527,4,1060
1.066747869,pair,1,-74.18354532,-15.56156768,3,54
2.08722398,r,3,-73.92362832,-15.38784313,5,496
1.988674941,r,3,-72.70600648,-16.33823785,4,618
,l,2,-74.81564448,-17.94982463,2,47
,pair,3,-75.15444564,-18.66752118,4,1053
2.733496549,pair,1,-73.68066281,-16.59963576,4,618
1.351687737,pair,2,-73.71688283,-16.20736411,2,115
,l,2,-75.70115205,-21.8232426,2,855
0.512758409,l,1,-74.20530883,-15.31224591,2,496
1.113957253,pair,2,-73.87262417,-15.24971491,5,496
1.569377901,r,3,-74.45006803,-20.3766958,4,230
1.558028046,r,2,-74.34270243,-16.28133647,3,557
1.83095949,r,1,-72.65008791,-16.10777138,4,618
1.348508133,l,1,-74.37789547,-15.92435258,4,999
1.288429571,pair,2,-73.08827914,-14.59755244,4,938
1.867960791,pair,3,-72.51734736,-16.24916353,4,618
0.324370848,pair,1,-74.24572734,-20.52590552,3,1365
2.521226,pair,2,-75.2263384,-18.86499213,3,1182
1.267735634,r,3,-73.87002304,-16.39773758,2,115
,l,2,-73.97193644,-17.37639189,3,1121
1.41853879,pair,3,-73.83232198,-16.11678639,3,557
1.357672555,pair,3,-73.89496727,-16.40936877,2,115
1.453896988,pair,3,-74.62601377,-18.10968168,3,679
1.896619484,r,2,-72.71050489,-16.23786848,4,618
2.312915003,r,1,-74.32825377,-16.93914107,4,618
1.200438236,pair,2,-73.71583464,-16.46631747,4,1060
1.126020958,pair,2,-74.38542975,-15.7834168,3,54
1.357587464,l,3,-74.62590185,-18.10798226,3,679
2.30513706,pair,3,-74.49627883,-20.63085112,3,420
0.368000013,l,3,-74.71205425,-17.89811517,2,1121
1.223387162,pair,2,-74.35438394,-16.0262441,4,999
2.878234628,pair,2,-74.32710003,-17.04987046,4,618
1.964762009,l,3,-73.94899142,-15.91734412,4,999
,r,3,-74.33313818,-16.38907099,3,557
1.801757529,r,2,-74.50257699,-20.46127699,4,230
1.318214077,pair,1,-73.8292944,-16.15605208,2,115
1.647170994,pair,3,-74.45001496,-20.37831164,4,230
1.465980639,pair,1,-74.34347849,-16.250619,3,809
3.211962866,pair,3,-74.96077085,-18.26505938,6,550
,l,3,-75.15446188,-18.66915679,4,1053
,l,2,-75.22693285,-18.86364459,3,1182
,l,1,-74.09057874,-21.57918888,2,291
,r,2,-74.34502533,-17.43259488,3,1373
1.610535631,r,3,-74.13431679,-15.24124268,5,938
0.488135975,r,1,-72.69000298,-16.38591137,3,176
,r,3,-75.51866944,-19.99643543,3,1175
